"","lhs","rhs","support","confidence","lift","count","rule"
"1","","prep_id",1,1,1,140,"  =>  prep_id"
"2","","activity_date",1,1,1,140,"  =>  activity_date"
"3","","activity_start_time",1,1,1,140,"  =>  activity_start_time"
"4","","activity_duration",1,1,1,140,"  =>  activity_duration"
"5","","activity_location",1,1,1,140,"  =>  activity_location"
"6","prep_id","activity_date",1,1,1,140,"prep_id  =>  activity_date"
"7","activity_date","prep_id",1,1,1,140,"activity_date  =>  prep_id"
"8","prep_id","activity_start_time",1,1,1,140,"prep_id  =>  activity_start_time"
"9","activity_start_time","prep_id",1,1,1,140,"activity_start_time  =>  prep_id"
"10","prep_id","activity_duration",1,1,1,140,"prep_id  =>  activity_duration"
"11","activity_duration","prep_id",1,1,1,140,"activity_duration  =>  prep_id"
"12","prep_id","activity_location",1,1,1,140,"prep_id  =>  activity_location"
"13","activity_location","prep_id",1,1,1,140,"activity_location  =>  prep_id"
"14","activity_date","activity_start_time",1,1,1,140,"activity_date  =>  activity_start_time"
"15","activity_start_time","activity_date",1,1,1,140,"activity_start_time  =>  activity_date"
"16","activity_date","activity_duration",1,1,1,140,"activity_date  =>  activity_duration"
"17","activity_duration","activity_date",1,1,1,140,"activity_duration  =>  activity_date"
"18","activity_date","activity_location",1,1,1,140,"activity_date  =>  activity_location"
"19","activity_location","activity_date",1,1,1,140,"activity_location  =>  activity_date"
"20","activity_start_time","activity_duration",1,1,1,140,"activity_start_time  =>  activity_duration"
"21","activity_duration","activity_start_time",1,1,1,140,"activity_duration  =>  activity_start_time"
"22","activity_start_time","activity_location",1,1,1,140,"activity_start_time  =>  activity_location"
"23","activity_location","activity_start_time",1,1,1,140,"activity_location  =>  activity_start_time"
"24","activity_duration","activity_location",1,1,1,140,"activity_duration  =>  activity_location"
"25","activity_location","activity_duration",1,1,1,140,"activity_location  =>  activity_duration"
"26","prep_id,activity_date","activity_start_time",1,1,1,140,"prep_id,activity_date  =>  activity_start_time"
"27","prep_id,activity_start_time","activity_date",1,1,1,140,"prep_id,activity_start_time  =>  activity_date"
"28","activity_date,activity_start_time","prep_id",1,1,1,140,"activity_date,activity_start_time  =>  prep_id"
"29","prep_id,activity_date","activity_duration",1,1,1,140,"prep_id,activity_date  =>  activity_duration"
"30","prep_id,activity_duration","activity_date",1,1,1,140,"prep_id,activity_duration  =>  activity_date"
"31","activity_date,activity_duration","prep_id",1,1,1,140,"activity_date,activity_duration  =>  prep_id"
"32","prep_id,activity_date","activity_location",1,1,1,140,"prep_id,activity_date  =>  activity_location"
"33","prep_id,activity_location","activity_date",1,1,1,140,"prep_id,activity_location  =>  activity_date"
"34","activity_date,activity_location","prep_id",1,1,1,140,"activity_date,activity_location  =>  prep_id"
"35","prep_id,activity_start_time","activity_duration",1,1,1,140,"prep_id,activity_start_time  =>  activity_duration"
"36","prep_id,activity_duration","activity_start_time",1,1,1,140,"prep_id,activity_duration  =>  activity_start_time"
"37","activity_start_time,activity_duration","prep_id",1,1,1,140,"activity_start_time,activity_duration  =>  prep_id"
"38","prep_id,activity_start_time","activity_location",1,1,1,140,"prep_id,activity_start_time  =>  activity_location"
"39","prep_id,activity_location","activity_start_time",1,1,1,140,"prep_id,activity_location  =>  activity_start_time"
"40","activity_start_time,activity_location","prep_id",1,1,1,140,"activity_start_time,activity_location  =>  prep_id"
"41","prep_id,activity_duration","activity_location",1,1,1,140,"prep_id,activity_duration  =>  activity_location"
"42","prep_id,activity_location","activity_duration",1,1,1,140,"prep_id,activity_location  =>  activity_duration"
"43","activity_duration,activity_location","prep_id",1,1,1,140,"activity_duration,activity_location  =>  prep_id"
"44","activity_date,activity_start_time","activity_duration",1,1,1,140,"activity_date,activity_start_time  =>  activity_duration"
"45","activity_date,activity_duration","activity_start_time",1,1,1,140,"activity_date,activity_duration  =>  activity_start_time"
"46","activity_start_time,activity_duration","activity_date",1,1,1,140,"activity_start_time,activity_duration  =>  activity_date"
"47","activity_date,activity_start_time","activity_location",1,1,1,140,"activity_date,activity_start_time  =>  activity_location"
"48","activity_date,activity_location","activity_start_time",1,1,1,140,"activity_date,activity_location  =>  activity_start_time"
"49","activity_start_time,activity_location","activity_date",1,1,1,140,"activity_start_time,activity_location  =>  activity_date"
"50","activity_date,activity_duration","activity_location",1,1,1,140,"activity_date,activity_duration  =>  activity_location"
"51","activity_date,activity_location","activity_duration",1,1,1,140,"activity_date,activity_location  =>  activity_duration"
"52","activity_duration,activity_location","activity_date",1,1,1,140,"activity_duration,activity_location  =>  activity_date"
"53","activity_start_time,activity_duration","activity_location",1,1,1,140,"activity_start_time,activity_duration  =>  activity_location"
"54","activity_start_time,activity_location","activity_duration",1,1,1,140,"activity_start_time,activity_location  =>  activity_duration"
"55","activity_duration,activity_location","activity_start_time",1,1,1,140,"activity_duration,activity_location  =>  activity_start_time"
"56","prep_id,activity_date,activity_start_time","activity_duration",1,1,1,140,"prep_id,activity_date,activity_start_time  =>  activity_duration"
"57","prep_id,activity_date,activity_duration","activity_start_time",1,1,1,140,"prep_id,activity_date,activity_duration  =>  activity_start_time"
"58","prep_id,activity_start_time,activity_duration","activity_date",1,1,1,140,"prep_id,activity_start_time,activity_duration  =>  activity_date"
"59","activity_date,activity_start_time,activity_duration","prep_id",1,1,1,140,"activity_date,activity_start_time,activity_duration  =>  prep_id"
"60","prep_id,activity_date,activity_start_time","activity_location",1,1,1,140,"prep_id,activity_date,activity_start_time  =>  activity_location"
"61","prep_id,activity_date,activity_location","activity_start_time",1,1,1,140,"prep_id,activity_date,activity_location  =>  activity_start_time"
"62","prep_id,activity_start_time,activity_location","activity_date",1,1,1,140,"prep_id,activity_start_time,activity_location  =>  activity_date"
"63","activity_date,activity_start_time,activity_location","prep_id",1,1,1,140,"activity_date,activity_start_time,activity_location  =>  prep_id"
"64","prep_id,activity_date,activity_duration","activity_location",1,1,1,140,"prep_id,activity_date,activity_duration  =>  activity_location"
"65","prep_id,activity_date,activity_location","activity_duration",1,1,1,140,"prep_id,activity_date,activity_location  =>  activity_duration"
"66","prep_id,activity_duration,activity_location","activity_date",1,1,1,140,"prep_id,activity_duration,activity_location  =>  activity_date"
"67","activity_date,activity_duration,activity_location","prep_id",1,1,1,140,"activity_date,activity_duration,activity_location  =>  prep_id"
"68","prep_id,activity_start_time,activity_duration","activity_location",1,1,1,140,"prep_id,activity_start_time,activity_duration  =>  activity_location"
"69","prep_id,activity_start_time,activity_location","activity_duration",1,1,1,140,"prep_id,activity_start_time,activity_location  =>  activity_duration"
"70","prep_id,activity_duration,activity_location","activity_start_time",1,1,1,140,"prep_id,activity_duration,activity_location  =>  activity_start_time"
"71","activity_start_time,activity_duration,activity_location","prep_id",1,1,1,140,"activity_start_time,activity_duration,activity_location  =>  prep_id"
"72","activity_date,activity_start_time,activity_duration","activity_location",1,1,1,140,"activity_date,activity_start_time,activity_duration  =>  activity_location"
"73","activity_date,activity_start_time,activity_location","activity_duration",1,1,1,140,"activity_date,activity_start_time,activity_location  =>  activity_duration"
"74","activity_date,activity_duration,activity_location","activity_start_time",1,1,1,140,"activity_date,activity_duration,activity_location  =>  activity_start_time"
"75","activity_start_time,activity_duration,activity_location","activity_date",1,1,1,140,"activity_start_time,activity_duration,activity_location  =>  activity_date"
"76","prep_id,activity_date,activity_start_time,activity_duration","activity_location",1,1,1,140,"prep_id,activity_date,activity_start_time,activity_duration  =>  activity_location"
"77","prep_id,activity_date,activity_start_time,activity_location","activity_duration",1,1,1,140,"prep_id,activity_date,activity_start_time,activity_location  =>  activity_duration"
"78","prep_id,activity_date,activity_duration,activity_location","activity_start_time",1,1,1,140,"prep_id,activity_date,activity_duration,activity_location  =>  activity_start_time"
"79","prep_id,activity_start_time,activity_duration,activity_location","activity_date",1,1,1,140,"prep_id,activity_start_time,activity_duration,activity_location  =>  activity_date"
"80","activity_date,activity_start_time,activity_duration,activity_location","prep_id",1,1,1,140,"activity_date,activity_start_time,activity_duration,activity_location  =>  prep_id"
